Date,HomeTeam,AwayTeam
08-08-2015,b-mouth,avilla
08-08-2015,chelsea,swansea
08-08-2015,everton,watford
08-08-2015,leicester,sunderland
08-08-2015,man-utd,spurs
08-08-2015,norwich,cpalace
09-08-2015,arsenal,west-ham
09-08-2015,newcastle,s-hampton
09-08-2015,stoke,liverpool
10-08-2015,wba,man-city
14-08-2015,avilla,man-utd
15-08-2015,s-hampton,everton
15-08-2015,sunderland,norwich
15-08-2015,swansea,newcastle
15-08-2015,spurs,stoke
15-08-2015,watford,wba
15-08-2015,west-ham,leicester
16-08-2015,cpalace,arsenal
16-08-2015,man-city,chelsea
17-08-2015,liverpool,b-mouth
22-08-2015,cpalace,avilla
22-08-2015,leicester,spurs
22-08-2015,man-utd,newcastle
22-08-2015,norwich,stoke
22-08-2015,sunderland,swansea
22-08-2015,west-ham,b-mouth
23-08-2015,everton,man-city
23-08-2015,watford,s-hampton
23-08-2015,wba,chelsea
24-08-2015,arsenal,liverpool
29-08-2015,avilla,sunderland
29-08-2015,b-mouth,leicester
29-08-2015,chelsea,cpalace
29-08-2015,liverpool,west-ham
29-08-2015,man-city,watford
29-08-2015,newcastle,arsenal
29-08-2015,stoke,wba
29-08-2015,spurs,everton
30-08-2015,s-hampton,norwich
30-08-2015,swansea,man-utd
12-09-2015,arsenal,stoke
12-09-2015,cpalace,man-city
12-09-2015,everton,chelsea
12-09-2015,man-utd,liverpool
12-09-2015,norwich,b-mouth
12-09-2015,watford,swansea
12-09-2015,wba,s-hampton
13-09-2015,leicester,avilla
13-09-2015,sunderland,spurs
14-09-2015,west-ham,newcastle
19-09-2015,avilla,wba
19-09-2015,b-mouth,sunderland
19-09-2015,chelsea,arsenal
19-09-2015,man-city,west-ham
19-09-2015,newcastle,watford
19-09-2015,stoke,leicester
19-09-2015,swansea,everton
20-09-2015,liverpool,norwich
20-09-2015,s-hampton,man-utd
20-09-2015,spurs,cpalace
26-09-2015,leicester,arsenal
26-09-2015,liverpool,avilla
26-09-2015,man-utd,sunderland
26-09-2015,newcastle,chelsea
26-09-2015,s-hampton,swansea
26-09-2015,stoke,b-mouth
26-09-2015,spurs,man-city
26-09-2015,west-ham,norwich
27-09-2015,watford,cpalace
28-09-2015,wba,everton
03-10-2015,avilla,stoke
03-10-2015,b-mouth,watford
03-10-2015,chelsea,s-hampton
03-10-2015,cpalace,wba
03-10-2015,man-city,newcastle
03-10-2015,norwich,leicester
03-10-2015,sunderland,west-ham
04-10-2015,arsenal,man-utd
04-10-2015,everton,liverpool
04-10-2015,swansea,spurs
17-10-2015,chelsea,avilla
17-10-2015,cpalace,west-ham
17-10-2015,everton,man-utd
17-10-2015,man-city,b-mouth
17-10-2015,s-hampton,leicester
17-10-2015,spurs,liverpool
