x,y,Team,Against,Scored,Match No
62.144,266.834,burnley,swansea,Missed,0
62.592,256.814,burnley,swansea,Missed,0
78.72,208.05,burnley,swansea,Missed,0
100.224,187.342,burnley,swansea,Missed,0
71.104,260.488,burnley,swansea,Missed,0
104.704,246.46,burnley,swansea,Missed,0
62.144,258.484,burnley,swansea,Missed,0
34.816,171.644,burnley,swansea,Missed,0
116.8,144.924,burnley,swansea,Missed,0
107.84,165.966,burnley,swansea,Missed,0
57.216,229.426,swansea,burnley,Missed,0
61.248,213.06,swansea,burnley,Missed,0
102.912,116.534,swansea,burnley,Missed,0
117.696,164.63,swansea,burnley,Missed,0
54.528,156.948,swansea,burnley,Missed,0
137.856,258.818,swansea,burnley,Missed,0
112.768,208.05,swansea,burnley,Missed,0
56.768,168.304,swansea,burnley,Missed,0
71.552,255.478,swansea,burnley,Missed,0
130.24,179.994,swansea,burnley,Missed,0
33.024,168.972,swansea,burnley,Missed,0
62.144,214.396,swansea,burnley,Missed,0
68.416,213.06,swansea,burnley,Missed,0
56.32,168.972,swansea,burnley,Missed,0
35.712,178.992,swansea,burnley,Scored,0
58.56,213.728,swansea,burnley,Missed,0
137.856,198.03,swansea,burnley,Missed,0
84.096,192.352,cpalace,wba,Missed,1
72,141.918,cpalace,wba,Missed,1
151.296,219.74,cpalace,wba,Missed,1
76.032,234.436,cpalace,wba,Missed,1
86.336,155.278,cpalace,wba,Missed,1
48.704,217.402,cpalace,wba,Missed,1
147.712,200.034,cpalace,wba,Missed,1
82.304,161.29,cpalace,wba,Missed,1
99.776,157.282,cpalace,wba,Missed,1
101.568,185.338,cpalace,wba,Missed,1
105.6,159.62,cpalace,wba,Missed,1
86.784,185.338,cpalace,wba,Missed,1
145.472,152.94,cpalace,wba,Missed,1
147.712,186.006,cpalace,wba,Missed,1
54.976,164.964,wba,cpalace,Missed,1
42.88,121.21,wba,cpalace,Missed,1
54.976,192.018,wba,cpalace,Missed,1
59.904,181.998,wba,cpalace,Missed,1
59.456,166.968,wba,cpalace,Missed,1
68.416,180.996,wba,cpalace,Missed,1
118.144,171.644,wba,cpalace,Missed,1
129.792,165.632,wba,cpalace,Missed,1
48.704,157.95,wba,cpalace,Missed,1
51.84,160.622,wba,cpalace,Scored,1
140.992,225.084,wba,cpalace,Missed,1
135.168,149.934,wba,cpalace,Missed,1
127.104,229.426,wba,cpalace,Missed,1
151.296,79.126,everton,spurs,Scored,2
76.928,128.224,everton,spurs,Missed,2
89.024,167.636,everton,spurs,Missed,2
51.84,270.174,everton,spurs,Missed,2
50.496,189.012,everton,spurs,Missed,2
52.288,217.736,everton,spurs,Missed,2
54.528,225.084,everton,spurs,Missed,2
121.728,207.382,everton,spurs,Missed,2
131.136,149.6,everton,spurs,Missed,2
150.848,202.038,everton,spurs,Missed,2
123.072,101.504,everton,spurs,Missed,2
102.016,106.514,everton,spurs,Missed,2
82.752,102.506,spurs,everton,Missed,2
118.592,167.97,spurs,everton,Missed,2
105.6,130.228,spurs,everton,Missed,2
66.176,142.586,spurs,everton,Missed,2
53.632,172.98,spurs,everton,Scored,2
97.984,193.02,spurs,everton,Missed,2
43.328,186.006,spurs,everton,Missed,2
99.776,208.384,spurs,everton,Missed,2
49.152,246.794,spurs,everton,Missed,2
102.016,236.44,spurs,everton,Missed,2
79.168,237.776,spurs,everton,Missed,2
60.8,94.156,spurs,everton,Missed,2
61.248,184.002,spurs,everton,Missed,2
53.632,154.61,hull-city,leicester,Missed,3
124.416,287.208,hull-city,leicester,Missed,3
88.128,241.784,hull-city,leicester,Missed,3
28.544,205.044,hull-city,leicester,Scored,3
50.496,147.596,hull-city,leicester,Missed,3
28.096,202.038,hull-city,leicester,Missed,3
128.896,241.784,hull-city,leicester,Missed,3
77.824,189.68,hull-city,leicester,Scored,3
37.056,128.892,hull-city,leicester,Missed,3
118.144,184.002,hull-city,leicester,Missed,3
149.952,173.648,hull-city,leicester,Missed,3
50.048,304.91,hull-city,leicester,Missed,3
116.8,122.212,hull-city,leicester,Missed,3
147.264,197.028,hull-city,leicester,Missed,3
137.408,234.102,leicester,hull-city,Missed,3
106.496,248.798,leicester,hull-city,Missed,3
54.08,129.56,leicester,hull-city,Missed,3
59.904,124.216,leicester,hull-city,Missed,3
121.28,184.67,leicester,hull-city,Missed,3
139.2,178.992,leicester,hull-city,Missed,3
53.184,205.378,leicester,hull-city,Missed,3
65.28,174.316,leicester,hull-city,Missed,3
79.168,191.016,leicester,hull-city,Missed,3
52.288,180.662,leicester,hull-city,Missed,3
67.52,183,leicester,hull-city,Scored,3
127.104,102.506,leicester,hull-city,Missed,3
97.536,219.74,leicester,hull-city,Missed,3
135.168,175.986,leicester,hull-city,Missed,3
123.52,193.02,leicester,hull-city,Missed,3
53.632,251.804,leicester,hull-city,Missed,3
62.144,206.046,leicester,hull-city,Missed,3
116.8,183,leicester,hull-city,Missed,3
67.52,183,man-city,sunderland,Scored,4
79.168,218.404,man-city,sunderland,Missed,4
44.224,62.092,man-city,sunderland,Missed,4
129.792,143.588,man-city,sunderland,Missed,4
97.088,249.466,man-city,sunderland,Missed,4
59.904,98.164,man-city,sunderland,Missed,4
135.168,140.582,man-city,sunderland,Missed,4
101.568,245.792,man-city,sunderland,Missed,4
84.544,204.376,man-city,sunderland,Missed,4
68.416,165.298,man-city,sunderland,Missed,4
63.04,209.386,man-city,sunderland,Missed,4
71.104,84.804,man-city,sunderland,Missed,4
114.112,213.394,man-city,sunderland,Missed,4
55.424,217.736,man-city,sunderland,Missed,4
26.752,174.316,man-city,sunderland,Scored,4
58.56,191.016,man-city,sunderland,Missed,4
113.664,256.48,man-city,sunderland,Missed,4
129.344,211.056,sunderland,man-city,Missed,4
37.504,153.942,sunderland,man-city,Missed,4
117.696,144.924,sunderland,man-city,Missed,4
50.944,182.666,sunderland,man-city,Missed,4
89.472,212.392,sunderland,man-city,Missed,4
73.344,173.648,sunderland,man-city,Scored,4
97.088,208.718,sunderland,man-city,Missed,4
52.288,170.642,m-brough,stoke,Missed,5
24.96,174.984,m-brough,stoke,Scored,5
128.896,162.96,m-brough,stoke,Missed,5
64.384,129.56,m-brough,stoke,Missed,5
54.976,117.87,m-brough,stoke,Missed,5
110.528,241.116,m-brough,stoke,Missed,5
127.552,162.626,m-brough,stoke,Missed,5
106.496,241.116,m-brough,stoke,Missed,5
49.6,175.986,m-brough,stoke,Missed,5
63.04,246.46,m-brough,stoke,Missed,5
31.232,150.936,m-brough,stoke,Missed,5
31.232,228.758,m-brough,stoke,Missed,5
141.44,179.994,stoke,m-brough,Missed,5
66.176,178.658,stoke,m-brough,Missed,5
86.784,243.788,stoke,m-brough,Missed,5
35.712,241.784,stoke,m-brough,Missed,5
53.632,241.45,stoke,m-brough,Missed,5
110.528,102.172,stoke,m-brough,Missed,5
50.944,241.784,stoke,m-brough,Missed,5
123.072,216.4,stoke,m-brough,Missed,5
116.8,241.784,stoke,m-brough,Scored,5
89.472,229.426,stoke,m-brough,Missed,5
115.904,245.458,stoke,m-brough,Missed,5
51.392,219.406,stoke,m-brough,Missed,5
130.24,270.174,s-hampton,watford,Missed,6
63.488,145.592,s-hampton,watford,Missed,6
152.64,293.22,s-hampton,watford,Missed,6
123.52,115.532,s-hampton,watford,Missed,6
35.264,144.924,s-hampton,watford,Missed,6
109.632,174.984,s-hampton,watford,Missed,6
125.76,260.488,s-hampton,watford,Missed,6
131.136,188.01,s-hampton,watford,Missed,6
90.368,143.588,s-hampton,watford,Missed,6
71.104,213.394,s-hampton,watford,Scored,6
89.92,115.198,s-hampton,watford,Missed,6
56.32,126.554,s-hampton,watford,Missed,6
59.456,179.326,s-hampton,watford,Missed,6
141.44,259.486,s-hampton,watford,Missed,6
95.744,188.344,s-hampton,watford,Missed,6
52.288,234.436,s-hampton,watford,Missed,6
129.792,147.596,s-hampton,watford,Missed,6
124.416,134.236,s-hampton,watford,Missed,6
124.864,160.622,s-hampton,watford,Missed,6
89.472,254.81,s-hampton,watford,Missed,6
135.168,264.496,s-hampton,watford,Missed,6
37.504,160.622,s-hampton,watford,Missed,6
62.592,113.528,s-hampton,watford,Missed,6
130.24,192.018,s-hampton,watford,Missed,6
60.8,175.652,watford,s-hampton,Scored,6
135.168,159.954,watford,s-hampton,Missed,6
111.872,271.176,watford,s-hampton,Missed,6
123.968,144.256,watford,s-hampton,Missed,6
127.104,114.53,watford,s-hampton,Missed,6
54.976,126.22,arsenal,liverpool,Missed,7
191.616,145.926,arsenal,liverpool,Missed,7
67.52,183,arsenal,liverpool,Missed,7
69.76,235.772,arsenal,liverpool,Scored,7
61.696,214.396,arsenal,liverpool,Missed,7
133.824,170.642,arsenal,liverpool,Missed,7
59.456,115.198,arsenal,liverpool,Scored,7
53.184,171.644,arsenal,liverpool,Scored,7
129.344,186.34,arsenal,liverpool,Missed,7
84.096,104.176,liverpool,arsenal,Missed,7
52.736,108.518,liverpool,arsenal,Missed,7
58.112,213.06,liverpool,arsenal,Missed,7
68.416,147.596,liverpool,arsenal,Missed,7
71.552,160.622,liverpool,arsenal,Missed,7
100.672,126.888,liverpool,arsenal,Missed,7
96.192,192.352,liverpool,arsenal,Missed,7
143.232,202.372,liverpool,arsenal,Scored,7
43.328,131.23,liverpool,arsenal,Scored,7
89.92,144.924,liverpool,arsenal,Missed,7
47.36,161.29,liverpool,arsenal,Scored,7
61.248,186.006,liverpool,arsenal,Missed,7
31.232,208.05,liverpool,arsenal,Missed,7
64.384,137.91,liverpool,arsenal,Scored,7
86.336,140.582,liverpool,arsenal,Missed,7
98.88,214.396,liverpool,arsenal,Missed,7
50.496,239.446,chelsea,west-ham,Missed,9
103.36,206.046,chelsea,west-ham,Missed,9
77.376,123.548,chelsea,west-ham,Missed,9
126.208,131.23,chelsea,west-ham,Missed,9
56.768,176.988,chelsea,west-ham,Missed,9
121.28,121.544,chelsea,west-ham,Missed,9
42.88,143.588,chelsea,west-ham,Missed,9
67.52,183,chelsea,west-ham,Scored,9
32.128,131.898,chelsea,west-ham,Missed,9
142.336,168.304,chelsea,west-ham,Missed,9
70.656,248.13,chelsea,west-ham,Missed,9
48.256,181.664,chelsea,west-ham,Missed,9
100.672,232.098,chelsea,west-ham,Missed,9
118.592,165.298,chelsea,west-ham,Missed,9
115.456,205.378,chelsea,west-ham,Scored,9
56.32,242.452,chelsea,west-ham,Missed,9
95.296,234.102,west-ham,chelsea,Missed,9
79.168,193.02,west-ham,chelsea,Scored,9
58.56,180.662,west-ham,chelsea,Missed,9
29.44,218.404,west-ham,chelsea,Missed,9
111.872,131.23,west-ham,chelsea,Missed,9
45.12,149.6,west-ham,chelsea,Missed,9
121.28,206.046,west-ham,chelsea,Missed,9
77.824,111.19,man-utd,s-hampton,Missed,10
59.008,173.982,man-utd,s-hampton,Missed,10
146.368,229.76,man-utd,s-hampton,Missed,10
60.8,166.968,man-utd,s-hampton,Scored,10
116.352,108.518,man-utd,s-hampton,Missed,10
126.656,149.934,man-utd,s-hampton,Missed,10
67.52,183,man-utd,s-hampton,Scored,10
110.976,131.898,man-utd,s-hampton,Missed,10
48.256,191.016,man-utd,s-hampton,Missed,10
71.104,139.914,man-utd,s-hampton,Missed,10
102.464,106.514,man-utd,s-hampton,Missed,10
80.96,242.452,man-utd,s-hampton,Missed,10
108.288,263.828,s-hampton,man-utd,Missed,10
67.968,232.432,s-hampton,man-utd,Missed,10
68.864,137.242,s-hampton,man-utd,Missed,10
70.656,201.37,s-hampton,man-utd,Missed,10
94.4,239.78,s-hampton,man-utd,Missed,10
110.528,226.42,s-hampton,man-utd,Missed,10
