,Against,Date,Header,Match No,PlayerID,PlayerName,Scored,Team,x,y
0,swansea,28-10-2017,1,90,120,Mertesacker,Missed,arsenal,68.86399999999998,187.008
1,swansea,28-10-2017,1,90,113,Koscielny,Missed,arsenal,51.839999999999975,191.016
2,swansea,28-10-2017,0,90,377,Ramsey,Missed,arsenal,80.95999999999998,156.948
3,swansea,28-10-2017,0,90,1581,Alexis Sánch,Missed,arsenal,119.03999999999996,75.78600000000006
4,swansea,28-10-2017,0,90,3832,Bellerín,Missed,arsenal,103.80799999999994,227.756
5,swansea,28-10-2017,0,90,1736,Monreal,Missed,arsenal,107.392,112.52600000000004
6,swansea,28-10-2017,0,90,2196,Kolasinac,Missed,arsenal,73.34399999999994,127.55600000000004
7,swansea,28-10-2017,0,90,1581,Alexis Sánch,Missed,arsenal,67.51999999999998,114.19600000000003
8,swansea,28-10-2017,0,90,2196,Kolasinac,Scored,arsenal,67.51999999999998,128.892
9,swansea,28-10-2017,0,90,123,Özil,Missed,arsenal,52.287999999999954,215.06400000000002
10,swansea,28-10-2017,0,90,377,Ramsey,Scored,arsenal,52.287999999999954,160.62199999999999
11,swansea,28-10-2017,0,90,377,Ramsey,Missed,arsenal,82.30399999999997,186.34
12,swansea,28-10-2017,0,90,1151,Alexandre La,Missed,arsenal,80.95999999999998,208.05
13,swansea,28-10-2017,0,90,3832,Bellerín,Missed,arsenal,33.023999999999944,222.41199999999998
14,swansea,28-10-2017,0,90,1581,Alexis Sánch,Missed,arsenal,108.28799999999995,116.53399999999999
15,swansea,28-10-2017,0,90,115,Giroud,Missed,arsenal,110.976,159.954
16,swansea,28-10-2017,0,90,115,Giroud,Missed,arsenal,30.783999999999935,158.61800000000002
17,arsenal,28-10-2017,0,90,18343,Clucas,Scored,swansea,50.04799999999998,234.43600000000004
18,arsenal,28-10-2017,0,90,18343,Clucas,Missed,swansea,102.91200000000003,227.422
19,arsenal,28-10-2017,0,90,1180,Jordan Ayew,Missed,swansea,54.080000000000005,153.608
20,arsenal,28-10-2017,0,90,20451,Tammy Abraha,Missed,swansea,84.09600000000002,161.62400000000002
21,chelsea,28-10-2017,1,91,10162,Marc Pugh,Missed,b-mouth,76.47999999999996,152.94
22,b-mouth,28-10-2017,1,91,8197,Tiemoué Baka,Missed,chelsea,63.936000000000014,193.68800000000002
23,b-mouth,28-10-2017,1,91,3635,Marcos Alons,Missed,chelsea,61.247999999999976,212.392
24,b-mouth,28-10-2017,1,91,3635,Marcos Alons,Missed,chelsea,69.31200000000004,215.39800000000002
25,chelsea,28-10-2017,0,91,3655,Afobe,Missed,b-mouth,60.351999999999975,153.608
26,chelsea,28-10-2017,0,91,15786,Lewis Cook,Missed,b-mouth,145.91999999999996,201.036
27,chelsea,28-10-2017,0,91,4299,Ibe,Missed,b-mouth,87.67999999999995,191.684
28,chelsea,28-10-2017,0,91,4299,Ibe,Missed,b-mouth,148.60799999999995,198.03
29,chelsea,28-10-2017,0,91,15153,Callum Wilso,Missed,b-mouth,35.26399999999995,204.042
30,chelsea,28-10-2017,0,91,10150,Steve Cook,Missed,b-mouth,86.33599999999996,163.294
31,b-mouth,28-10-2017,0,91,320,Rodríguez Le,Missed,chelsea,113.21600000000002,186.006
32,b-mouth,28-10-2017,0,91,306,Fàbregas,Missed,chelsea,117.24799999999999,161.29000000000002
33,b-mouth,28-10-2017,0,91,1847,Morata,Missed,chelsea,27.647999999999975,157.95000000000002
34,b-mouth,28-10-2017,0,91,1847,Morata,Missed,chelsea,66.17600000000002,214.39600000000002
35,b-mouth,28-10-2017,0,91,448,Luiz Moreira,Missed,chelsea,100.22399999999999,169.97400000000002
36,b-mouth,28-10-2017,0,91,1847,Morata,Missed,chelsea,74.24000000000001,196.36
37,b-mouth,28-10-2017,0,91,15657,Zappacosta,Missed,chelsea,72.44799999999998,119.20600000000002
38,b-mouth,28-10-2017,0,91,306,Fàbregas,Missed,chelsea,41.08799999999998,161.29000000000002
39,b-mouth,28-10-2017,0,91,306,Fàbregas,Missed,chelsea,48.70399999999999,153.608
40,b-mouth,28-10-2017,0,91,454,Eden Hazard,Scored,chelsea,49.15200000000003,241.784
41,b-mouth,28-10-2017,0,91,8197,Tiemoué Baka,Missed,chelsea,98.88000000000001,231.76399999999998
42,b-mouth,28-10-2017,0,91,454,Eden Hazard,Missed,chelsea,73.344,170.642
43,b-mouth,28-10-2017,0,91,320,Rodríguez Le,Missed,chelsea,115.45600000000002,179.326
44,b-mouth,28-10-2017,0,91,306,Fàbregas,Missed,chelsea,27.200000000000003,231.43
45,b-mouth,28-10-2017,0,91,9093,Batshuayi,Missed,chelsea,89.92,245.792
46,west-ham,28-10-2017,1,92,3613,Dann,Missed,cpalace,64.38399999999996,125.21800000000002
47,west-ham,28-10-2017,1,92,900,Tomkins,Missed,cpalace,54.52799999999996,184.002
48,west-ham,28-10-2017,1,92,4920,Loftus-Cheek,Missed,cpalace,61.69599999999997,165.966
49,west-ham,28-10-2017,1,92,4920,Loftus-Cheek,Missed,cpalace,31.23199999999997,144.924
50,west-ham,28-10-2017,1,92,900,Tomkins,Missed,cpalace,62.591999999999985,171.644
51,cpalace,28-10-2017,1,92,181,Ogbonna,Missed,west-ham,21.376000000000012,195.358
52,cpalace,28-10-2017,1,92,729,José Fonte,Missed,west-ham,43.327999999999975,199.032
53,west-ham,28-10-2017,0,92,10707,Jeffrey Schl,Missed,cpalace,56.767999999999915,183
54,west-ham,28-10-2017,0,92,9453,Milivojevic,Scored,cpalace,67.51999999999998,183
55,west-ham,28-10-2017,0,92,5187,Joel Ward,Missed,cpalace,76.03199999999998,261.49
56,west-ham,28-10-2017,0,92,111,Cabaye,Missed,cpalace,67.96799999999996,207.382
57,west-ham,28-10-2017,0,92,4942,Zaha,Missed,cpalace,72.89599999999996,132.232
58,west-ham,28-10-2017,0,92,111,Cabaye,Missed,cpalace,97.98399999999998,174.65
59,west-ham,28-10-2017,0,92,111,Cabaye,Missed,cpalace,100.22399999999993,236.44
60,west-ham,28-10-2017,0,92,4942,Zaha,Missed,cpalace,58.111999999999966,124.55000000000001
61,west-ham,28-10-2017,0,92,4942,Zaha,Missed,cpalace,84.99199999999996,163.62800000000001
62,west-ham,28-10-2017,0,92,9453,Milivojevic,Missed,cpalace,95.29599999999999,167.97
63,west-ham,28-10-2017,0,92,1410,Sako,Missed,cpalace,24.512,196.36
64,west-ham,28-10-2017,0,92,4942,Zaha,Scored,cpalace,52.287999999999954,129.22600000000003
65,west-ham,28-10-2017,0,92,4942,Zaha,Missed,cpalace,92.60799999999995,177.656
66,west-ham,28-10-2017,0,92,4942,Zaha,Missed,cpalace,59.45599999999996,142.586
67,cpalace,28-10-2017,0,92,583,Hernández Ba,Scored,west-ham,61.69600000000002,165.632
68,cpalace,28-10-2017,0,92,1174,André Ayew,Scored,west-ham,109.184,222.07800000000003
69,cpalace,28-10-2017,0,92,9470,Cheikhou Kou,Missed,west-ham,66.17600000000002,243.45399999999998
70,cpalace,28-10-2017,0,92,10955,Michail Anto,Missed,west-ham,106.04799999999999,87.81
71,hudd-town,28-10-2017,1,93,2021,Roberto Firm,Scored,liverpool,35.71199999999999,173.64800000000002
72,hudd-town,28-10-2017,1,93,2178,Joel Matip,Missed,liverpool,52.73599999999999,189.012
73,hudd-town,28-10-2017,1,93,2178,Joel Matip,Missed,liverpool,60.351999999999975,187.008
74,hudd-town,28-10-2017,0,93,441,Sturridge,Missed,liverpool,37.50399999999996,148.264
75,hudd-town,28-10-2017,0,93,9258,Salah Ghaly,Missed,liverpool,79.16799999999995,211.056
76,hudd-town,28-10-2017,0,93,84,Milner,Missed,liverpool,63.48799999999994,105.17800000000003
77,hudd-town,28-10-2017,0,93,7968,Georginio Wi,Missed,liverpool,141.43999999999994,163.62800000000001
78,hudd-town,28-10-2017,0,93,9258,Salah Ghaly,Missed,liverpool,67.51999999999998,183
79,hudd-town,28-10-2017,0,93,86,Jordan Hende,Missed,liverpool,80.06399999999996,177.656
80,hudd-town,28-10-2017,0,93,441,Sturridge,Scored,liverpool,56.767999999999915,203.37400000000002
81,hudd-town,28-10-2017,0,93,84,Milner,Missed,liverpool,60.799999999999955,186.006
82,hudd-town,28-10-2017,0,93,4094,Alberto More,Missed,liverpool,122.17599999999999,161.62400000000002
83,hudd-town,28-10-2017,0,93,9258,Salah Ghaly,Missed,liverpool,80.512,175.986
84,hudd-town,28-10-2017,0,93,7968,Georginio Wi,Scored,liverpool,69.75999999999999,222.07800000000003
85,hudd-town,28-10-2017,0,93,15466,Solanke,Missed,liverpool,120.38399999999996,160.62199999999999
86,hudd-town,28-10-2017,0,93,86,Jordan Hende,Missed,liverpool,140.54399999999998,181.66400000000002
87,liverpool,28-10-2017,0,93,10072,Tom Ince,Missed,hudd-town,128.44799999999998,144.924
88,stoke,28-10-2017,1,95,20573,Richarlison,Missed,watford,48.70399999999995,159.954
89,stoke,28-10-2017,1,95,15177,Andre Gray,Missed,watford,63.039999999999964,196.36
90,stoke,28-10-2017,1,95,15177,Andre Gray,Missed,watford,78.71999999999997,216.066
91,stoke,28-10-2017,0,95,11010,Troy Deeney,Missed,watford,38.39999999999998,212.05800000000002
92,stoke,28-10-2017,0,95,20573,Richarlison,Missed,watford,26.303999999999974,143.58800000000002
93,stoke,28-10-2017,0,95,14359,André Carril,Missed,watford,109.18399999999997,232.43200000000002
94,stoke,28-10-2017,0,95,15177,Andre Gray,Missed,watford,86.78399999999993,207.382
95,stoke,28-10-2017,0,95,1370,Abdoulaye Do,Missed,watford,89.47199999999998,184.002
96,stoke,28-10-2017,0,95,14359,André Carril,Missed,watford,107.83999999999997,228.758
97,stoke,28-10-2017,0,95,20573,Richarlison,Missed,watford,80.95999999999998,115.19800000000001
98,stoke,28-10-2017,0,95,1370,Abdoulaye Do,Missed,watford,94.84799999999996,148.932
99,stoke,28-10-2017,0,95,160,Holebas,Missed,watford,119.48799999999994,183.334
100,watford,28-10-2017,0,95,572,Darren Fletc,Scored,stoke,97.08799999999998,201.37
101,watford,28-10-2017,0,95,2000,Choupo-Motin,Missed,stoke,59.00799999999998,168.972
102,watford,28-10-2017,0,95,540,Joe Allen,Missed,stoke,74.68799999999999,209.386
103,watford,28-10-2017,0,95,2000,Choupo-Motin,Missed,stoke,140.54399999999998,243.12
104,watford,28-10-2017,0,95,531,Adam,Missed,stoke,129.344,205.37800000000001
105,man-city,28-10-2017,1,96,7342,Rondón,Missed,wba,72.44799999999992,167.97
106,man-city,28-10-2017,1,96,7342,Rondón,Missed,wba,51.391999999999996,195.024
107,man-city,28-10-2017,1,96,1335,Krychowiak,Missed,wba,46.91199999999998,166.96800000000002
108,wba,28-10-2017,1,96,308,David Silva,Missed,man-city,56.32000000000001,187.34199999999998
109,man-city,28-10-2017,0,96,750,Jay Rodrigue,Scored,wba,87.23199999999997,175.986
110,man-city,28-10-2017,0,96,750,Jay Rodrigue,Missed,wba,131.13599999999997,200.03400000000002
111,man-city,28-10-2017,0,96,10899,Matt Phillip,Scored,wba,35.71199999999999,185.33800000000002
112,wba,28-10-2017,0,96,414,Delph,Missed,man-city,140.096,211.056
113,wba,28-10-2017,0,96,12319,Leroy Sané,Scored,man-city,53.18399999999999,235.772
114,wba,28-10-2017,0,96,414,Delph,Missed,man-city,128.44799999999998,219.072
115,wba,28-10-2017,0,96,12319,Leroy Sané,Missed,man-city,72,146.92800000000003
116,wba,28-10-2017,0,96,4958,Luiz Rosa,Scored,man-city,144.128,178.65800000000002
117,wba,28-10-2017,0,96,308,David Silva,Missed,man-city,104.704,203.04000000000002
118,wba,28-10-2017,0,96,12319,Leroy Sané,Missed,man-city,106.49600000000002,121.54399999999998
119,wba,28-10-2017,0,96,2431,De Bruyne,Missed,man-city,122.17600000000002,152.606
120,wba,28-10-2017,0,96,854,Kyle Walker,Missed,man-city,67.96799999999999,124.21600000000004
121,wba,28-10-2017,0,96,2431,De Bruyne,Missed,man-city,134.72000000000003,184.002
122,wba,28-10-2017,0,96,2431,De Bruyne,Missed,man-city,118.14399999999999,234.43600000000004
123,wba,28-10-2017,0,96,534,Raheem Sterl,Scored,man-city,28.54399999999999,188.01000000000002
124,wba,28-10-2017,0,96,2431,De Bruyne,Missed,man-city,61.69600000000002,132.232
125,wba,28-10-2017,0,96,308,David Silva,Missed,man-city,54.97600000000001,168.972
126,s-hampton,29-10-2017,1,97,8105,Davy Pröpper,Missed,brighton,74.68799999999993,189.346
127,s-hampton,29-10-2017,1,97,471,Shane Duffy,Missed,brighton,28.543999999999926,173.64800000000002
128,s-hampton,29-10-2017,1,97,5195,Glenn Murray,Scored,brighton,44.22399999999993,146.26000000000002
129,brighton,29-10-2017,1,97,753,Steven Davis,Scored,s-hampton,56.76799999999998,197.02800000000002
130,s-hampton,29-10-2017,0,97,10715,Anthony Knoc,Missed,brighton,26.75200000000001,216.4
131,s-hampton,29-10-2017,0,97,5195,Glenn Murray,Missed,brighton,38.39999999999998,205.37800000000001
132,s-hampton,29-10-2017,0,97,16317,Izquierdo Me,Missed,brighton,60.799999999999955,120.87600000000003
133,s-hampton,29-10-2017,0,97,10715,Anthony Knoc,Missed,brighton,132.92799999999994,168.638
134,brighton,29-10-2017,0,97,739,Ward-Prowse,Missed,s-hampton,132.03200000000004,221.41
135,brighton,29-10-2017,0,97,7763,Dusan Tadic,Missed,s-hampton,71.55200000000002,161.95800000000003
136,brighton,29-10-2017,0,97,17351,Boufal,Missed,s-hampton,96.64000000000001,97.49600000000004
137,brighton,29-10-2017,0,97,437,Bertrand,Missed,s-hampton,143.23200000000003,268.504
138,brighton,29-10-2017,0,97,2441,Gabbiadini,Missed,s-hampton,37.05600000000001,224.082
139,newcastle,30-10-2017,1,99,10408,Jeff Hendric,Missed,burnley,62.14399999999995,159.954
140,newcastle,30-10-2017,1,99,10238,Ashley Barne,Missed,burnley,74.23999999999995,180.662
141,newcastle,30-10-2017,1,99,15160,Tarkowski,Missed,burnley,57.21599999999995,163.62800000000001
142,burnley,30-10-2017,1,99,5493,Dwight Gayle,Missed,newcastle,67.96799999999999,207.048
143,burnley,30-10-2017,1,99,3728,Manquillo,Missed,newcastle,56.32000000000001,205.044
144,newcastle,30-10-2017,0,99,10408,Jeff Hendric,Missed,burnley,59.007999999999925,125.55199999999999
145,newcastle,30-10-2017,0,99,587,Robbie Brady,Missed,burnley,78.27199999999999,88.81200000000001
146,newcastle,30-10-2017,0,99,15160,Tarkowski,Missed,burnley,27.64799999999991,153.942
147,newcastle,30-10-2017,0,99,7689,Berg Gudmund,Missed,burnley,82.75200000000001,242.452
148,newcastle,30-10-2017,0,99,9360,Defour,Missed,burnley,119.93599999999998,254.81
149,newcastle,30-10-2017,0,99,10408,Jeff Hendric,Scored,burnley,34.815999999999974,166.63400000000001
150,newcastle,30-10-2017,0,99,743,Cork,Missed,burnley,70.65599999999995,215.732
151,newcastle,30-10-2017,0,99,743,Cork,Missed,burnley,132.03199999999998,149.93400000000003
152,newcastle,30-10-2017,0,99,10238,Ashley Barne,Missed,burnley,122.62399999999997,158.952
153,burnley,30-10-2017,0,99,8331,Atsu,Missed,newcastle,37.05600000000001,214.06199999999998
154,burnley,30-10-2017,0,99,523,Shelvey,Missed,newcastle,110.97600000000003,253.474
155,burnley,30-10-2017,0,99,8331,Atsu,Missed,newcastle,78.72,214.06199999999998
156,burnley,30-10-2017,0,99,15144,Pérez Gutiér,Missed,newcastle,100.22399999999999,234.10199999999998
157,burnley,30-10-2017,0,99,523,Shelvey,Missed,newcastle,124.864,215.39800000000002
158,burnley,30-10-2017,0,99,10182,Matt Ritchie,Missed,newcastle,106.49600000000002,110.52199999999999
159,burnley,30-10-2017,0,99,2042,Mato Sanmart,Missed,newcastle,96.19200000000004,162.626
160,burnley,30-10-2017,0,99,2042,Mato Sanmart,Missed,newcastle,97.984,195.024
