,Against,Date,Match No,PlayerID,PlayerName,Scored,Team,x,y
0,leicester,11/08/2017,0,1151,Alexandre La,Scored,arsenal,67.52,174.316
1,leicester,11/08/2017,0,90,Oxlade-Chamb,Missed,arsenal,102.464,109.52
2,leicester,11/08/2017,0,90,Oxlade-Chamb,Missed,arsenal,111.872,135.238
3,leicester,11/08/2017,0,2103,Granit Xhaka,Missed,arsenal,161.152,158.618
4,leicester,11/08/2017,0,88,Welbeck,Missed,arsenal,58.112,147.93
5,leicester,11/08/2017,0,2196,Kolasinac,Missed,arsenal,59.904,115.866
6,leicester,11/08/2017,0,9245,Elneny,Missed,arsenal,133.824,144.59
7,leicester,11/08/2017,0,88,Welbeck,Missed,arsenal,75.136,200.368
8,leicester,11/08/2017,0,2103,Granit Xhaka,Missed,arsenal,138.752,151.604
9,leicester,11/08/2017,0,88,Welbeck,Scored,arsenal,49.6,181.33
10,leicester,11/08/2017,0,1151,Alexandre La,Missed,arsenal,80.512,170.308
11,leicester,11/08/2017,0,123,í_zil,Missed,arsenal,127.104,198.364
12,leicester,11/08/2017,0,90,Oxlade-Chamb,Missed,arsenal,114.56,197.362
13,leicester,11/08/2017,0,3832,Bellerí_n,Missed,arsenal,47.36,230.094
14,leicester,11/08/2017,0,2103,Granit Xhaka,Missed,arsenal,116.352,185.338
15,leicester,11/08/2017,0,377,Ramsey,Missed,arsenal,50.496,179.994
16,leicester,11/08/2017,0,123,í_zil,Missed,arsenal,37.056,121.21
17,leicester,11/08/2017,0,90,Oxlade-Chamb,Missed,arsenal,145.472,230.762
18,leicester,11/08/2017,0,90,Oxlade-Chamb,Missed,arsenal,87.68,272.846
19,leicester,11/08/2017,0,123,í_zil,Missed,arsenal,85.44,168.972
20,leicester,11/08/2017,0,90,Oxlade-Chamb,Missed,arsenal,117.248,245.458
21,leicester,11/08/2017,0,115,Giroud,Scored,arsenal,49.6,172.98
22,leicester,11/08/2017,0,377,Ramsey,Scored,arsenal,42.88,226.086
23,leicester,11/08/2017,0,1151,Alexandre La,Missed,arsenal,47.36,142.92
24,leicester,11/08/2017,0,377,Ramsey,Missed,arsenal,47.808,138.244
25,leicester,11/08/2017,0,2103,Granit Xhaka,Missed,arsenal,139.648,175.986
