,%Title,Goals,Points
Arsenal,0.39,61.0,70.1
Man City,0.24,57.0,67.7
Tottenham,0.12,56.0,64.1
Liverpool,0.08,55.0,61.5
Southampton,0.06,55.0,61.3
Leicester,0.04,56.0,59.2
Chelsea,0.04,52.0,57.8
West Ham,0.02,56.0,56.9
Man United,0.01,43.0,52.9
Everton,0.0,49.0,49.6
Bournemouth,0.0,43.0,47.9
Crystal Palace,0.0,44.0,47.8
West Brom,0.0,41.0,47.2
Watford,0.0,41.0,46.9
Swansea,0.0,41.0,44.9
Stoke,0.0,38.0,44.2
Sunderland,0.0,42.0,43.9
Hull,0.0,41.0,43.7
Middlesbrough,0.0,41.0,43.1
Burnley,0.0,34.0,35.8
