,%Title,Goals,Points
Man City,0.35,62.0,74.3
Tottenham,0.16,58.0,70.4
Chelsea,0.19,56.0,70.4
Liverpool,0.16,59.0,69.6
Man United,0.1,53.0,67.7
Arsenal,0.03,58.0,62.0
Southampton,0.01,51.0,57.1
Everton,0.01,50.0,56.8
West Brom,0.0,44.0,50.1
West Ham,0.0,48.0,50.1
Crystal Palace,0.0,46.0,49.7
Stoke,0.0,46.0,49.0
Leicester,0.0,45.0,47.6
Swansea,0.0,42.0,42.9
Watford,0.0,39.0,42.8
Bournemouth,0.0,42.0,42.5
Burnley,0.0,37.0,39.2
Newcastle,0.0,37.0,38.1
Huddersfield,0.0,27.0,34.1
Brighton,0.0,33.0,33.6
