Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
E0,16/04/2016,Everton,Southampton,1,1,D,0,0,D,C Pawson,7,18,2,4,8,14,3,10,1,1,0,0,2.7,3.4,2.8,2.5,3.25,2.75,2.5,3.3,2.65,2.6,3.3,2.88,2.66,3.39,2.85,2.7,3.1,2.7,2.75,3.3,2.8,49,2.75,2.59,3.41,3.29,2.95,2.79,41,2.04,1.98,1.9,1.82,29,-0.25,2.29,2.19,1.73,1.7,3,3.52,2.48
E0,16/04/2016,Man United,Aston Villa,1,0,H,1,0,H,K Friend,13,7,4,1,9,10,14,3,0,1,0,0,1.22,7,17,1.2,6,15,1.2,5.8,13,1.22,6,17,1.26,6.35,14.88,1.25,5.5,13,1.22,6.5,17,49,1.26,1.23,7,6.04,17,14.93,39,1.83,1.75,2.16,2.06,31,-1.75,2.03,1.96,1.95,1.9,1.25,6.4,15
E0,16/04/2016,Newcastle,Swansea,3,0,H,1,0,H,L Mason,12,11,7,1,13,9,3,7,2,1,0,0,2.3,3.4,3.4,2.25,3.2,3.2,2.3,3.3,2.9,2.3,3.3,3.3,2.28,3.47,3.4,2.3,3.2,3.2,2.3,3.4,3.3,49,2.38,2.27,3.5,3.33,3.42,3.25,40,2.15,2.06,1.83,1.75,31,-0.25,1.98,1.94,1.97,1.93,2.43,3.46,3.13
E0,16/04/2016,Norwich,Sunderland,0,3,A,0,1,A,A Marriner,19,8,6,3,7,11,14,0,2,2,0,0,2.4,3.3,3.25,2.25,3.25,3.1,2.3,3.2,3,2.4,3.25,3.2,2.33,3.41,3.35,2.4,3.1,3.1,2.38,3.3,3.3,48,2.4,2.34,3.41,3.27,3.4,3.18,39,2.25,2.13,1.76,1.7,31,-0.25,2.04,1.99,1.92,1.87,2.35,3.36,3.36
E0,16/04/2016,West Brom,Watford,0,1,A,0,1,A,M Oliver,16,11,4,4,11,17,9,3,0,3,0,0,2.4,3.2,3.4,2.3,3.1,3.2,2.3,3.1,3.1,2.4,3.1,3.3,2.36,3.23,3.49,2.4,3.1,3.1,2.38,3.13,3.5,49,2.4,2.34,3.26,3.14,3.5,3.31,39,2.6,2.46,1.6,1.53,31,-0.25,2.03,1.98,1.92,1.88,2.4,3.26,3.37
E0,17/04/2016,Arsenal,Crystal Palace,1,1,D,1,0,H,R East,21,7,6,2,7,13,10,5,0,2,0,0,1.33,5.75,9.5,1.33,5,8.75,1.3,5,9,1.36,5.25,9,1.36,5.52,9.56,1.35,4.8,9,1.33,5.5,10,49,1.37,1.34,5.75,5.2,10,9.06,38,1.66,1.6,2.45,2.31,32,-1.5,2.02,1.97,1.93,1.88,1.34,5.85,9.7
E0,17/04/2016,Bournemouth,Liverpool,1,2,A,0,2,A,M Jones,18,19,5,6,9,9,5,4,0,0,0,0,3.6,3.5,2.15,3.3,3.4,2.1,3.3,3.3,2.1,3.5,3.4,2.2,3.71,3.52,2.14,3.5,3.25,2.15,3.6,3.5,2.15,49,3.71,3.46,3.52,3.42,2.2,2.13,41,2.04,1.96,1.91,1.84,31,0.25,2.1,2.01,1.88,1.85,2.69,3.48,2.77
E0,17/04/2016,Leicester,West Ham,2,2,D,1,0,H,J Moss,6,19,2,4,14,14,0,5,1,3,1,0,1.95,3.6,4.2,1.95,3.4,3.75,2,3.3,3.6,1.95,3.5,4.2,1.92,3.75,4.3,1.91,3.3,4.2,1.91,3.7,4.3,49,2,1.91,3.8,3.57,4.3,4.08,41,2,1.91,1.95,1.89,30,-0.5,1.95,1.9,2.02,1.96,1.95,3.71,4.19
E0,18/04/2016,Stoke,Tottenham,0,4,A,0,1,A,N Swarbrick,12,23,2,6,12,12,5,3,2,0,0,0,4.5,3.75,1.85,4.1,3.5,1.85,4,3.45,1.85,4.5,3.6,1.85,4.81,3.74,1.83,4.5,3.4,1.85,5,3.7,1.8,47,5,4.46,3.8,3.62,1.88,1.82,39,2.04,1.96,1.9,1.83,27,0.75,1.86,1.81,2.12,2.05,5.02,4,1.75
E0,19/04/2016,Newcastle,Man City,1,1,D,1,1,D,K Friend,5,9,3,5,13,8,5,3,3,2,0,0,6,4.5,1.57,5.25,4.25,1.55,5.4,3.7,1.6,6,4.33,1.57,6.29,4.44,1.57,6,3.8,1.57,6.25,4.4,1.57,45,6.29,5.86,4.5,4.24,1.65,1.57,35,1.72,1.66,2.33,2.21,30,1,1.99,1.93,1.98,1.93,6.5,4.63,1.54
