,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,xGH,xGA
0,0,0.0,0.0,E0,11/08/2017,Arsenal,Leicester,4,3,H,2.0,2.0,D,M Dean,27.0,6.0,10.0,3.0,9.0,12.0,9.0,4.0,0.0,1.0,0.0,0.0,1.53,4.5,6.5,1.5,4.6,6.75,1.47,4.5,6.5,1.44,4.4,6.5,1.53,4.55,6.85,1.53,4.2,6.0,1.53,4.5,6.5,41.0,1.55,1.51,4.6,4.43,6.89,6.44,37.0,1.65,1.61,2.43,2.32,21.0,-1.0,1.91,1.85,2.1,2.02,1.49,4.73,7.25,2.5693888437616477,1.6889502380287933
1,1,1.0,1.0,E0,12/08/2017,Brighton,Man City,0,2,A,0.0,0.0,D,M Oliver,6.0,14.0,2.0,4.0,6.0,9.0,3.0,10.0,0.0,2.0,0.0,0.0,11.0,5.5,1.33,11.0,5.25,1.3,8.0,5.3,1.35,10.0,5.0,1.3,10.95,5.55,1.34,10.0,4.8,1.33,10.0,5.5,1.33,40.0,11.5,10.1,5.6,5.25,1.36,1.32,35.0,1.7,1.63,2.4,2.27,20.0,1.5,1.95,1.91,2.01,1.96,11.75,6.15,1.29,0.7560044162605544,1.7458261027160216
2,2,2.0,2.0,E0,12/08/2017,Chelsea,Burnley,2,3,A,0.0,3.0,A,C Pawson,19.0,10.0,6.0,5.0,16.0,11.0,8.0,5.0,3.0,3.0,2.0,0.0,1.25,6.5,15.0,1.22,6.5,12.5,1.22,6.2,13.5,1.25,5.75,15.0,1.26,6.3,15.25,1.25,5.5,13.0,1.25,6.25,15.0,41.0,1.27,1.24,6.55,6.06,15.5,13.67,36.0,1.71,1.66,2.33,2.23,20.0,-1.75,2.03,1.97,1.95,1.9,1.33,5.4,12.25,1.4840750578913127,1.1530898063092387
3,3,3.0,3.0,E0,12/08/2017,Crystal Palace,Huddersfield,0,3,A,0.0,2.0,A,J Moss,14.0,8.0,4.0,6.0,7.0,19.0,12.0,9.0,1.0,3.0,0.0,0.0,1.83,3.6,5.0,1.8,3.5,4.75,1.85,3.5,4.3,1.8,3.4,4.6,1.83,3.58,5.11,1.8,3.3,5.0,1.83,3.6,5.0,41.0,1.86,1.81,3.65,3.5,5.11,4.82,36.0,2.19,2.11,1.79,1.72,18.0,-0.75,2.1,2.05,1.86,1.83,1.79,3.56,5.51,1.4853227282905344,1.5971606729863885
4,4,4.0,4.0,E0,12/08/2017,Everton,Stoke,1,0,H,1.0,0.0,H,N Swarbrick,9.0,9.0,4.0,1.0,13.0,10.0,6.0,7.0,1.0,1.0,0.0,0.0,1.7,3.8,5.75,1.7,3.6,5.5,1.7,3.7,5.0,1.67,3.6,5.25,1.7,3.83,5.81,1.7,3.5,5.5,1.7,3.8,5.75,40.0,1.71,1.69,3.85,3.69,6.0,5.5,35.0,2.17,2.08,1.8,1.76,19.0,-0.75,1.94,1.9,2.01,1.98,1.82,3.49,5.42,0.722952492166174,0.442601137844587
5,5,5.0,5.0,E0,12/08/2017,Southampton,Swansea,0,0,D,0.0,0.0,D,M Jones,29.0,4.0,2.0,0.0,10.0,13.0,13.0,0.0,2.0,1.0,0.0,0.0,1.62,4.0,6.5,1.57,4.0,6.0,1.65,3.8,5.3,1.6,3.7,6.0,1.64,3.94,6.35,1.62,3.6,6.0,1.65,4.0,5.5,41.0,1.66,1.61,4.05,3.84,6.5,5.98,36.0,2.17,2.08,1.8,1.75,19.0,-0.75,1.83,1.78,2.16,2.1,1.56,4.25,6.85,3.023072599172596,0.49077470393732014
6,6,6.0,6.0,E0,12/08/2017,Watford,Liverpool,3,3,D,2.0,1.0,H,A Taylor,9.0,14.0,4.0,5.0,14.0,8.0,3.0,3.0,0.0,3.0,0.0,0.0,6.0,4.2,1.62,6.0,4.2,1.55,5.5,4.0,1.6,5.8,4.0,1.57,5.74,4.29,1.63,5.5,3.8,1.62,6.0,4.0,1.65,41.0,6.5,5.75,4.3,4.06,1.65,1.6,37.0,1.89,1.82,2.08,1.99,21.0,1.0,1.9,1.84,2.13,2.04,6.88,4.27,1.56,2.0520225295796752,2.1519649117237614
7,7,7.0,7.0,E0,12/08/2017,West Brom,Bournemouth,1,0,H,1.0,0.0,H,R Madley,16.0,9.0,6.0,2.0,15.0,3.0,8.0,2.0,3.0,1.0,0.0,0.0,2.4,3.3,3.3,2.4,3.2,3.1,2.3,3.3,3.15,2.4,3.1,3.0,2.46,3.25,3.26,2.5,3.1,3.0,2.5,3.3,3.13,41.0,2.5,2.43,3.3,3.19,3.3,3.11,36.0,2.25,2.16,1.75,1.7,22.0,-0.25,2.12,2.08,1.85,1.81,2.65,3.21,3.02,1.9739521330746939,0.8441097239443947
8,8,8.0,8.0,E0,13/08/2017,Man United,West Ham,4,0,H,1.0,0.0,H,M Atkinson,22.0,9.0,6.0,1.0,19.0,7.0,11.0,1.0,2.0,2.0,0.0,0.0,1.3,5.75,12.0,1.28,5.5,11.0,1.33,5.3,8.7,1.33,5.0,10.0,1.33,5.68,10.85,1.3,5.0,11.0,1.3,5.5,11.5,40.0,1.35,1.31,5.75,5.29,13.0,10.74,35.0,1.76,1.7,2.25,2.16,19.0,-1.5,2.01,1.96,1.95,1.92,,,,1.8409975560890481,0.7650016577181259
9,9,9.0,9.0,E0,13/08/2017,Newcastle,Tottenham,0,2,A,0.0,0.0,D,A Marriner,6.0,18.0,3.0,6.0,6.0,10.0,5.0,7.0,1.0,2.0,1.0,0.0,5.5,4.0,1.7,5.25,3.8,1.67,4.8,3.6,1.75,5.0,3.8,1.67,5.35,4.0,1.71,5.0,3.75,1.7,5.5,4.0,1.7,41.0,5.5,5.16,4.0,3.87,1.75,1.69,36.0,1.88,1.81,2.07,2.01,20.0,0.75,2.06,2.0,1.92,1.87,,,,0.7019391912737549,1.992031735391552
10,10,10.0,,,19/08/2017,Swansea,Man United,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6102475392145281,2.358260410203422
11,11,,,,19/08/2017,Bournemouth,Watford,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0741963620490487,2.1384129780301913
12,12,,,,19/08/2017,Burnley,West Brom,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8703381943545745,1.3292019338432195
13,13,,,,19/08/2017,Leicester,Brighton,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1082112171967133,0.16384151804387154
14,14,,,,19/08/2017,Liverpool,Crystal Palace,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0740281643805414,0.5419224408351202
15,15,,,,19/08/2017,Southampton,West Ham,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9727305011261262,2.3669353016834727
16,16,,,,19/08/2017,Stoke,Arsenal,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3234317543875815,1.7506893458587862
17,17,,,,20/08/2017,Tottenham,Chelsea,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3503130662231047,0.8998534231414724
18,18,,,,20/08/2017,Huddersfield,Newcastle,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33846784827971554,1.3132044832360874
