,HomeTeam,AwayTeam,Selection,MyOdds,Bookies Odds,Bookie
0,Arsenal,Tottenham,Away Winner,2.53,3.1300000000000003,"SJ,MA"
1,Brighton,Stoke,Away Winner,2.29,3.5599999999999996,MR
2,Burnley,Swansea,Home Winner,2.11,2.2,"B3,LD,FB,P3,CE,BL,PS,WA,MR,SJ,VC,PE,MA"
3,Crystal Palace,Everton,Home Winner,1.98,2.4,"LD,WH,FB,P3,PP,UN,CE,FR,BY,WA,OE,MR,SJ,VC,MA"
4,Watford,West Ham,Away Winner,2.46,3.8000000000000003,"UN,MR,VC"
5,Crystal Palace,Stoke,Home Winner,1.91,2.26,MR
6,Liverpool,Chelsea,Home Winner,2.16,2.3,"MR,VC"
7,Newcastle,Watford,Away Winner,2.41,3.75,MR
8,Southampton,Everton,Home Winner,1.83,1.9700000000000002,MR
9,Swansea,Bournemouth,Home Winner,2.0,2.62,SO
10,West Ham,Leicester,Home Winner,2.26,2.55,VC
