,%Releg,%Title,%Top4,Draws,Goals,Losses,Points,Wins
Man City,0.0,44.0,90.1,6.81,73.23,7.18,78.83,24.01
Tottenham,0.0,15.4,72.7,7.36,66.03,8.6,73.49,22.04
Chelsea,0.0,17.7,73.2,7.94,64.19,8.28,73.27,21.78
Liverpool,0.0,13.0,69.2,7.18,66.83,9.16,72.16,21.66
Man United,0.0,6.9,48.5,8.29,56.84,9.53,68.84,20.18
Arsenal,0.0,2.4,27.7,7.26,67.3,11.75,64.23,18.99
Southampton,0.3,0.3,7.7,7.95,55.6,13.23,58.4,16.82
Everton,0.3,0.2,5.6,7.76,55.64,13.59,57.7,16.64
Crystal Palace,2.6,0.0,1.5,7.85,50.17,15.81,50.89,14.35
Stoke,3.2,0.0,1.5,7.68,51.23,16.0,50.64,14.32
West Ham,2.8,0.0,1.3,7.67,52.29,16.02,50.62,14.32
West Brom,2.6,0.0,0.5,8.14,47.4,15.77,50.4,14.09
Leicester,5.9,0.1,0.1,7.58,49.65,16.99,47.87,13.43
Swansea,17.7,0.0,0.1,7.75,44.12,18.64,42.58,11.61
Watford,18.6,0.0,0.1,7.85,41.68,18.62,42.45,11.54
Bournemouth,20.8,0.0,0.2,7.38,45.81,19.04,42.11,11.58
Burnley,31.3,0.0,0.0,7.73,39.62,19.73,39.34,10.54
Newcastle,46.9,0.0,0.0,7.37,38.88,21.08,36.02,9.55
Huddersfield,71.9,0.0,0.0,8.66,26.66,21.54,32.06,7.8
Brighton,75.1,0.0,0.0,7.35,34.17,22.66,31.31,7.99
